               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.028562,           0.0091197,             0.01605,             0.58748,             0.85941,             0.74117,             0.52641,            0.015468,           0.0038183,            0.027222,              0.0964,              0.0004,              0.0004
                   1,            0.024058,           0.0088477,            0.015613,             0.56371,             0.85397,               0.748,             0.56039,            0.014336,           0.0035863,            0.027795,            0.091898,          0.00089822,          0.00089822
                   2,            0.021476,           0.0090386,            0.012968,             0.62255,             0.85418,             0.77682,             0.57639,            0.014653,           0.0033383,            0.020313,            0.087394,           0.0013945,           0.0013945
                   3,             0.02109,           0.0079797,            0.010071,             0.57322,                 0.9,             0.78782,             0.59272,            0.015017,           0.0033684,            0.020935,            0.082889,           0.0018887,           0.0018887
                   4,             0.01952,            0.008817,            0.007337,             0.66285,             0.74893,             0.77014,             0.57201,            0.014094,           0.0033157,            0.019281,            0.078381,            0.002381,            0.002381
                   5,            0.020136,           0.0086071,           0.0078481,             0.64289,             0.79167,             0.76486,             0.57202,            0.015253,           0.0033994,            0.019501,            0.073871,           0.0028713,           0.0028713
                   6,            0.021382,           0.0090454,           0.0060018,             0.63376,             0.83249,             0.78329,             0.57637,            0.016058,           0.0034323,            0.019144,             0.06936,           0.0033596,           0.0033596
                   7,            0.022847,           0.0080438,           0.0064234,             0.72598,             0.73066,             0.76114,             0.54841,            0.014719,           0.0036759,            0.015744,            0.064846,           0.0038459,           0.0038459
                   8,            0.021432,           0.0075918,           0.0058732,             0.68804,             0.79966,             0.72754,             0.54306,            0.014762,           0.0037844,            0.014374,             0.06033,           0.0043303,           0.0043303
                   9,            0.024164,           0.0086644,            0.007283,             0.77059,             0.69533,             0.77987,             0.57845,            0.014402,           0.0035865,            0.014175,            0.055813,           0.0048127,           0.0048127
                  10,            0.023574,           0.0082774,           0.0093624,              0.7723,             0.71667,             0.78566,             0.60246,            0.016229,           0.0035317,            0.013177,            0.051293,           0.0052931,           0.0052931
                  11,            0.022833,            0.007829,           0.0048836,             0.81311,             0.78545,              0.7982,             0.59952,            0.017452,           0.0035632,            0.011153,            0.046771,           0.0057715,           0.0057715
                  12,            0.026395,            0.007593,           0.0037289,             0.79105,             0.85733,             0.78193,             0.57324,            0.017227,           0.0035322,            0.010384,            0.042248,           0.0062479,           0.0062479
                  13,            0.026176,           0.0086927,            0.004371,             0.75776,              0.8638,             0.76987,             0.54128,            0.016655,           0.0036316,           0.0092484,            0.037722,           0.0067224,           0.0067224
                  14,            0.026315,           0.0083336,           0.0041965,             0.76968,             0.89205,             0.80445,             0.58101,             0.01764,           0.0037105,           0.0085518,            0.033195,           0.0071949,           0.0071949
                  15,            0.027964,            0.008875,           0.0055498,              0.7274,               0.875,             0.80914,             0.51181,            0.017917,           0.0035942,            0.010049,            0.028665,           0.0076654,           0.0076654
                  16,            0.026329,           0.0077819,           0.0041358,             0.68098,                0.85,             0.81754,             0.55171,            0.019783,           0.0035651,            0.011855,            0.024134,           0.0081339,           0.0081339
                  17,             0.02837,           0.0080067,           0.0045728,             0.77901,             0.57658,             0.73458,             0.47562,            0.019318,           0.0035286,            0.010838,              0.0196,           0.0086004,           0.0086004
                  18,            0.027963,           0.0086045,           0.0044447,             0.63613,             0.72932,             0.71921,             0.51173,            0.017948,           0.0036716,            0.010628,            0.015065,            0.009065,            0.009065
                  19,            0.026757,           0.0089656,           0.0023127,               0.626,             0.73333,             0.72902,             0.49446,            0.024309,            0.003782,           0.0095245,            0.010528,           0.0095276,           0.0095276
                  20,            0.039607,           0.0080336,           0.0049274,             0.61782,                 0.9,             0.65527,             0.37946,            0.019849,           0.0044651,            0.012851,            0.009604,            0.009604,            0.009604
