               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,               0.125,            0.028736,            0.034791,          0.00027412,            0.045455,          0.00015018,          1.5018e-05,             0.08315,            0.022984,            0.019928,                 0.1,                   0,                   0
                   1,             0.12721,            0.028398,            0.036627,          0.00048042,             0.21212,          0.00043642,          4.3642e-05,            0.082919,            0.022873,            0.020001,              0.0991,          9.9802e-05,          9.9802e-05
                   2,             0.12576,            0.027697,            0.032571,          0.00048055,             0.21212,           0.0004448,           4.448e-05,            0.082233,            0.022387,            0.019916,            0.098199,          0.00019921,          0.00019921
                   3,             0.12841,              0.0279,            0.036396,          0.00047991,             0.21212,           0.0004536,           4.536e-05,            0.081204,            0.021828,            0.019751,            0.097298,          0.00029822,          0.00029822
                   4,             0.12445,            0.027638,            0.034352,          0.00073823,             0.25758,          0.00076388,          0.00013404,            0.079783,            0.021217,            0.019543,            0.096397,          0.00039683,          0.00039683
                   5,             0.12473,            0.027095,            0.032064,          0.00047915,             0.21212,          0.00051085,          0.00012334,            0.078146,            0.020567,            0.019318,            0.095495,          0.00049505,          0.00049505
                   6,             0.12166,            0.026698,            0.031954,          0.00047867,             0.21212,           0.0005328,           7.137e-05,            0.076004,            0.019955,            0.019086,            0.094593,          0.00059287,          0.00059287
                   7,             0.11606,            0.026943,            0.032149,          0.00073043,             0.25758,          0.00084429,          0.00013832,            0.073505,            0.019449,            0.018854,             0.09369,           0.0006903,           0.0006903
                   8,             0.12023,            0.025883,            0.031072,          0.00097646,             0.30303,           0.0019501,          0.00043713,              0.0701,            0.019115,            0.018524,            0.092787,          0.00078733,          0.00078733
                   9,             0.10944,            0.027032,            0.029124,          0.00097246,             0.30303,           0.0012087,          0.00044679,            0.067284,            0.018712,            0.018213,            0.091884,          0.00088396,          0.00088396
                  10,             0.10411,            0.025053,            0.028426,           0.0016646,             0.56061,           0.0036126,           0.0008965,            0.063015,            0.018508,            0.017688,             0.09098,           0.0009802,           0.0009802
                  11,             0.10407,            0.025854,            0.028072,           0.0014255,             0.51515,           0.0031884,          0.00085739,            0.062953,            0.018517,            0.017688,            0.090076,            0.001076,            0.001076
                  12,            0.096402,            0.027077,            0.027687,            0.001421,             0.39394,           0.0029785,          0.00062495,             0.06099,            0.017955,            0.017719,            0.089171,           0.0011715,           0.0011715
                  13,            0.097963,            0.028905,            0.028011,           0.0016366,             0.56061,           0.0037674,            0.001153,            0.057026,            0.017798,            0.017303,            0.088267,           0.0012665,           0.0012665
                  14,            0.092683,            0.026898,            0.026806,           0.0024607,             0.74242,           0.0061507,           0.0015588,            0.049919,            0.017966,            0.016443,            0.087361,           0.0013612,           0.0013612
                  15,             0.08755,            0.026796,            0.026384,           0.0026205,             0.78788,           0.0070899,           0.0021456,            0.047754,            0.017683,            0.015948,            0.086455,           0.0014555,           0.0014555
                  16,            0.083104,            0.028264,            0.025285,            0.002283,             0.62121,           0.0064931,           0.0018762,            0.046857,             0.01729,            0.015735,            0.085549,           0.0015493,           0.0015493
                  17,            0.083477,            0.024666,            0.026067,           0.0023558,             0.74242,           0.0066593,           0.0018011,            0.046077,            0.017018,            0.015381,            0.084643,           0.0016428,           0.0016428
                  18,            0.082222,            0.022413,            0.027389,           0.0018078,              0.5303,            0.011805,           0.0033996,            0.045979,            0.016566,            0.014813,            0.083736,           0.0017358,           0.0017358
                  19,            0.080284,            0.022401,            0.022454,           0.0017923,              0.5303,            0.022223,           0.0064394,            0.048253,            0.015813,            0.014478,            0.082829,           0.0018285,           0.0018285
                  20,            0.077978,            0.024989,            0.023494,           0.0019587,             0.57576,            0.018638,           0.0053304,            0.048435,            0.015583,            0.014276,            0.081921,           0.0019208,           0.0019208
                  21,            0.075219,            0.023208,            0.023022,           0.0019485,             0.57576,            0.026254,           0.0060175,            0.050389,            0.014894,            0.014075,            0.081013,           0.0020127,           0.0020127
                  22,            0.075122,            0.027499,            0.023906,           0.0019306,             0.57576,             0.02982,           0.0087023,            0.047742,            0.015006,             0.01413,            0.080104,           0.0021042,           0.0021042
                  23,            0.071173,            0.024424,            0.020943,           0.0020965,             0.62121,            0.045462,           0.0096409,            0.047501,            0.014774,            0.014124,            0.079195,           0.0021953,           0.0021953
                  24,            0.067037,            0.028033,            0.019408,           0.0020829,             0.62121,            0.072164,            0.015632,            0.047538,            0.014497,            0.014117,            0.078286,            0.002286,            0.002286
                  25,            0.069815,            0.028401,            0.022076,           0.0029181,             0.95455,            0.030258,             0.01004,            0.042901,            0.014857,            0.013678,            0.077376,           0.0023762,           0.0023762
                  26,            0.072102,            0.022234,            0.022592,           0.0026654,             0.83333,             0.03619,           0.0087822,            0.042568,             0.01479,            0.013358,            0.076466,           0.0024662,           0.0024662
                  27,            0.067937,            0.025785,            0.016219,           0.0031008,                   1,            0.037342,            0.012413,            0.041367,             0.01454,            0.013156,            0.075556,           0.0025557,           0.0025557
                  28,            0.066373,            0.025378,            0.019424,            0.019888,              0.5303,             0.10915,            0.027505,            0.040333,            0.014368,            0.013306,            0.074645,           0.0026448,           0.0026448
                  29,            0.061798,            0.027232,            0.018853,            0.023222,             0.27273,             0.10727,            0.031694,            0.036893,            0.014673,            0.013455,            0.073733,           0.0027335,           0.0027335
                  30,            0.062696,            0.022893,            0.019537,            0.023133,             0.22727,             0.13581,            0.030609,            0.042034,            0.014034,            0.013324,            0.072822,           0.0028218,           0.0028218
                  31,            0.061656,             0.02546,            0.018213,             0.53561,             0.18182,             0.13399,            0.031628,            0.038685,            0.014363,            0.013458,             0.07191,           0.0029097,           0.0029097
                  32,             0.06033,            0.029165,            0.018306,             0.52162,             0.13636,            0.057165,            0.019086,            0.037608,            0.014171,            0.013657,            0.070997,           0.0029972,           0.0029972
                  33,            0.061843,            0.022367,            0.018133,             0.63227,             0.18182,             0.16193,            0.032977,             0.04169,            0.013846,            0.013531,            0.070084,           0.0030844,           0.0030844
                  34,            0.061787,            0.027912,            0.017877,              0.6529,             0.18182,             0.14173,            0.063979,            0.037634,            0.014018,            0.013791,            0.069171,           0.0031711,           0.0031711
                  35,            0.059642,             0.02647,            0.017109,             0.61466,             0.13636,             0.15908,            0.039034,            0.043089,            0.013456,            0.013531,            0.068257,           0.0032574,           0.0032574
                  36,            0.057339,            0.025039,            0.015303,             0.78769,             0.27273,             0.19449,             0.05626,            0.038622,            0.013186,            0.013873,            0.067343,           0.0033434,           0.0033434
                  37,            0.059759,            0.024236,            0.016398,             0.60956,             0.13636,             0.10446,            0.027498,            0.038155,            0.013402,            0.014017,            0.066429,           0.0034289,           0.0034289
                  38,            0.056792,            0.026388,            0.015153,             0.68973,             0.18182,             0.19864,            0.055652,            0.041309,            0.013545,            0.014453,            0.065514,           0.0035141,           0.0035141
                  39,            0.062946,            0.019515,            0.015338,             0.68826,             0.18182,             0.19182,            0.055253,            0.041118,            0.013293,            0.014413,            0.064599,           0.0035988,           0.0035988
                  40,            0.060114,            0.024012,            0.018432,             0.62612,             0.13636,             0.12548,            0.032947,            0.040011,            0.013353,            0.014566,            0.063683,           0.0036832,           0.0036832
                  41,            0.058789,             0.02772,            0.019423,             0.59727,             0.20906,             0.14636,            0.047813,            0.040282,            0.012833,            0.014572,            0.062767,           0.0037672,           0.0037672
                  42,            0.056481,            0.021277,            0.015608,             0.63331,             0.13636,             0.12725,            0.032963,             0.04174,             0.01279,            0.014224,            0.061851,           0.0038507,           0.0038507
                  43,            0.054676,             0.02535,            0.015343,             0.65997,             0.13636,             0.20618,            0.056394,            0.037703,            0.013243,             0.01427,            0.060934,           0.0039339,           0.0039339
                  44,            0.055443,            0.022119,            0.017061,              0.6535,             0.13636,             0.12735,            0.032744,            0.043948,             0.01241,            0.014291,            0.060017,           0.0040167,           0.0040167
                  45,             0.05962,            0.024313,            0.012884,             0.52226,             0.27273,            0.073808,            0.029644,            0.036207,            0.012167,            0.013889,            0.059099,           0.0040991,           0.0040991
                  46,            0.054177,            0.021905,            0.010896,             0.70726,             0.13636,             0.23059,            0.078241,             0.04221,             0.01093,            0.012637,            0.058181,            0.004181,            0.004181
                  47,            0.056136,            0.019465,            0.013869,             0.73156,             0.18182,             0.20943,            0.093664,            0.034919,            0.011012,            0.013159,            0.057263,           0.0042626,           0.0042626
                  48,            0.054608,            0.024165,            0.014544,             0.77324,             0.18182,             0.22497,             0.07026,            0.044159,              0.0103,            0.014215,            0.056344,           0.0043438,           0.0043438
                  49,            0.056166,            0.021032,            0.014376,             0.66947,             0.13636,             0.17777,            0.071181,            0.035995,            0.010388,            0.013864,            0.055425,           0.0044246,           0.0044246
                  50,            0.055734,            0.022335,            0.012929,             0.57948,             0.22727,              0.3271,             0.15881,             0.03646,           0.0098741,            0.013187,            0.054505,            0.004505,            0.004505
                  51,            0.052084,            0.023419,            0.010091,            0.051599,             0.22727,             0.16118,            0.065683,            0.036775,            0.009989,            0.013095,            0.053585,            0.004585,            0.004585
                  52,            0.055414,            0.020992,            0.011421,             0.90232,             0.18182,             0.31086,            0.079759,            0.040496,           0.0091374,            0.013486,            0.052665,           0.0046646,           0.0046646
